1st_key,2nd_key,mean,std,count
c,k,167.16983758289302,165.61510543807697,112796
c,l,179.34426195895102,175.49760694640392,48771
c,m,266.2985449071751,241.61176848317683,1993
c,n,224.2380106571936,194.5384233484072,3941
c,o,148.91780040255603,159.8794882394011,255865
c,p,281.00064808814,306.63988879524146,1543
c,q,289.76190476190476,176.3056948188336,42
c,r,283.40851637764933,217.12602291677928,25950
c,s,254.59088817303268,273.97544790134754,4346
c,t,260.23611993970326,176.0153921161865,110122
c,u,221.7839326666194,233.44186223613423,42297
c,v,206.5970802919708,244.42304303823508,685
c,w,284.262996941896,285.1552337018473,327
c,x,187.15985130111525,265.32223527499747,269
c,y,233.24076983503534,210.3374008845109,7638
c,z,265.8333333333333,143.12342326018575,36
d, ,151.25029053256526,161.8298424487371,878559
d,a,165.5053749194515,131.73611035629477,166049
d,b,351.8659855769231,608.7356607750263,1664
d,c,324.13161953727507,472.6897578253441,1945
d,d,186.33684028228774,138.54223591974548,23097
d,e,202.44735030970406,153.67631003471232,193249
d,f,293.54281891168597,273.9340383748593,2242
d,g,297.36059539052496,238.45220533810183,6248
d,h,321.0051223676722,663.0576386756223,1757
d,i,176.86156762014016,200.88595681113526,160396
d,j,396.71153846153845,609.511195055729,156
d,k,236.6051401869159,335.376234142864,428
d,l,206.4969382609322,267.4364682722808,13881
d,m,326.65674567813227,400.31554552366606,5611
d,n,288.1093120515674,371.28043917534086,26063
d,o,155.7934254662552,179.7102938113894,149060
d,p,321.17349726775956,377.1338359068796,732
d,q,324.3970588235294,264.8913119666243,68
d,r,256.3400696363832,208.16770995803992,27859
d,s,210.3324852954906,199.46016229234547,42844
d,t,354.81118240146657,636.0718720708437,3273
d,u,211.4939337666357,204.65726744679966,32310
d,v,340.0549763033175,275.5055481929186,8440
d,w,346.2353495383456,303.6221201258352,5307
d,x,183.8469387755102,345.60991514153716,98
d,y,228.32454784078243,232.78279099300943,27811
d,z,281.77777777777777,221.46375424534924,9
e, ,147.51028631806216,157.62883394711878,2225043
e,a,177.36018510013588,150.1105949451323,315721
e,b,328.67143604955504,299.3953224101398,11462
e,c,284.5988507667123,246.20499162957637,149665
e,d,218.95355775827827,145.29510258740672,443088
e,e,183.48824067797668,120.42977579832099,320129
e,f,276.4692606598897,234.62155763328423,57646
e,g,314.73778816469024,295.1553407922501,34659
e,h,243.43344874014232,275.90119570932865,10398
e,i,225.6952312022517,246.8382634117064,62175
e,j,354.37683823529414,509.5700201438418,544
e,k,183.25296511882357,199.43110953252662,68547
e,l,193.93408950491357,210.95261979163146,171566
e,m,202.61261917560188,200.35746403944086,141388
e,n,179.41517849736573,189.47300657002086,421939
e,o,247.97562137695544,248.61020827270175,25186
e,p,234.45501618122978,304.84409745927076,57165
e,q,391.8643742953777,415.6610174040437,8870
